Series_ID,Year,Month,Month_Name,Pred_Active,Prob_Active,Pred_Revenue
CLIENT_001_ROUTE_002_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.1804,0.0
CLIENT_001_ROUTE_002_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9556,2538.9
CLIENT_002_ROUTE_003_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.2975,0.0
CLIENT_002_ROUTE_004_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9839,2538.9
CLIENT_003_ROUTE_001_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1652,0.0
CLIENT_003_ROUTE_001_SUPPLIERCONNECTION_003_NETWORK_007,2025,1,Jan,0,0.0336,0.0
CLIENT_004_ROUTE_005_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.031,0.0
CLIENT_005_ROUTE_006_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.0668,0.0
CLIENT_006_ROUTE_007_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_007_ROUTE_009_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.0616,0.0
CLIENT_007_ROUTE_009_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9739,7015.29
CLIENT_008_ROUTE_010_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.0336,0.0
CLIENT_009_ROUTE_011_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.0336,0.0
CLIENT_010_ROUTE_012_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.4152,0.0
CLIENT_011_ROUTE_013_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9852,4888.18
CLIENT_012_ROUTE_014_SUPPLIERCONNECTION_003_NETWORK_001,2025,1,Jan,0,0.1946,0.0
CLIENT_012_ROUTE_014_SUPPLIERCONNECTION_003_NETWORK_007,2025,1,Jan,1,0.9852,4083.6
CLIENT_013_ROUTE_015_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.3236,0.0
CLIENT_013_ROUTE_016_SUPPLIERCONNECTION_004_NETWORK_007,2025,1,Jan,1,0.9808,3065554.75
CLIENT_014_ROUTE_017_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9734,5207.83
CLIENT_015_ROUTE_018_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1652,0.0
CLIENT_016_ROUTE_019_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9834,2538.9
CLIENT_017_ROUTE_020_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9852,1368716.38
CLIENT_018_ROUTE_021_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.031,0.0
CLIENT_019_ROUTE_022_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.031,0.0
CLIENT_020_ROUTE_023_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.5842,13408.17
CLIENT_021_ROUTE_024_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9852,15163.12
CLIENT_021_ROUTE_024_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9306,2538.9
CLIENT_022_ROUTE_075_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.1283,0.0
CLIENT_022_ROUTE_075_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.2734,0.0
CLIENT_023_ROUTE_025_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,0,0.031,0.0
CLIENT_023_ROUTE_025_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.0336,0.0
CLIENT_024_ROUTE_026_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.6399,3127.17
CLIENT_024_ROUTE_026_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.5769,34022.31
CLIENT_025_ROUTE_027_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9839,2789.22
CLIENT_025_ROUTE_027_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.4918,0.0
CLIENT_027_ROUTE_029_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9835,18022.39
CLIENT_027_ROUTE_029_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9808,21633.03
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9852,11656.59
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9568,3428.39
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_003_NETWORK_001,2025,1,Jan,0,0.0265,0.0
CLIENT_029_ROUTE_031_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.0265,0.0
CLIENT_029_ROUTE_032_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_030_ROUTE_033_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_030_ROUTE_034_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_030_ROUTE_036_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_030_ROUTE_037_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_031_ROUTE_035_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.7896,4353.91
CLIENT_031_ROUTE_038_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9808,300997.12
CLIENT_031_ROUTE_039_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1941,0.0
CLIENT_031_ROUTE_040_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9819,471239.09
CLIENT_031_ROUTE_041_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9809,1595110.62
CLIENT_031_ROUTE_042_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9838,9966.04
CLIENT_031_ROUTE_047_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9808,242233.69
CLIENT_031_ROUTE_048_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9779,1153.52
CLIENT_031_ROUTE_049_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.031,0.0
CLIENT_031_ROUTE_050_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.98,10523.19
CLIENT_031_ROUTE_051_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,1,0.9852,5203.87
CLIENT_031_ROUTE_052_SUPPLIERCONNECTION_001_NETWORK_007,2025,1,Jan,0,0.1946,0.0
CLIENT_031_ROUTE_053_SUPPLIERCONNECTION_001_NETWORK_002,2025,1,Jan,1,0.9852,116799.45
